@RELATION 'Amazon Product Reviews'

@ATTRIBUTE sentence STRING 
@ATTRIBUTE classAttribute {Positive,Negative}

@DATA
'Internet is excrutiatingly slow.',Negative
'Portable and it works.',Positive
'The headset fulfills my requirements so I am happy with my purchase.',Positive
'This is simply the BEST bluetooth headset for sound quality!',Positive
'This BlueAnt Supertooth hands-free phone speaker is AWESOME.',Positive
'Lasted one day and then blew up.',Negative
'Good audio quality.',Positive
'The file browser offers all the options that one needs.Handsfree is great.',Positive
'Small, sleek, impressive looking, practical setup with ample storage in place.',Positive
'Great Phone.',Positive
'The design is very odd, as the ear "clip" is not very comfortable at all.',Negative
'After receiving and using the product for just 2 days it broke.',Negative
'This phone is slim and light and the display is beautiful.',Positive
'The one big drawback of the MP3 player is that the buttons on the phone\'s front cover that let you pause and skip songs lock out after a few seconds.',Negative
'Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.',Positive
'The speaker is of low quality so as making the ring tones sound very cheap.',Negative
'NOT WHAT I WANTED.',Negative
'Worst software ever used.... If I could give this zero stars I would.',Negative
'BT50 battery junk!.',Negative
'No real improvement.',Negative
'This is infuriating.',Negative
'I have been very satisfied with this cell phone from day one.',Positive
'The phone crashed completely and now I have to get it replaced.',Negative
'Was not happy.',Negative
'This PDA rocks.',Positive
'Don\'t buy this product - It fails!.',Negative
'Buyer--Be Very Careful!!!!!.',Negative
'Gets a signal when other Verizon phones won\'t.',Positive
'Yet Plantronincs continues to use the same flawed charger design.',Negative
'Nice quality build, unlike some cheap s*** out there.',Positive
'Light weight, I hardly notice it is there.',Positive
'Don\'t buy it.',Negative
'I could not recommend these more.',Negative
'Obviously there is a problem with the adhesive.',Negative
'I found this product to be waaay too big.',Negative
'The plastic breaks really easy on this clip.',Negative
'The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.',Negative
'Trying to make a call on these is an exercise in frustration.',Negative
'A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn\'t hear me.',Positive
'The camera on the phone may be used as a dustpan when indoors... I\'d rather be using a disposable then this.',Negative
'The holster that arrived did not match the photo in the ad.',Negative
'Dont waste your money...',Negative
'I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.',Negative
'I exchanged the sony ericson z500a for this and I\'m pretty happy with that decision.',Positive
'You also cannot take pictures with it in the case because the lense is covered.',Negative
'If you are looking for a good quality Motorola Headset keep looking, this isn\'t it.',Negative
'How stupid is that?',Negative
'Headset works great & was packaged nicely to avoid any damage.',Positive
'I contacted the company and they told me that, although the unit was still under warranty, if I couldn\'t produce my receipt I was out of luck.',Negative
Incredible!.,Positive
'This product is ideal for people like me whose ears are very sensitive.',Positive
'Good price.',Positive
'An Awesome New Look For Fall 2000!.',Positive
'This is a good battery, and it got here really fast.',Positive
'clipping this to your belt will deffinitely make you feel like 50 cent\'s up-and-coming.',Positive
'Timely shipment and quality product.',Positive
'It didn\'t work, people can not hear me when I talk.',Negative
'But now that it is "out of warranty" the same problems reoccure.Bottom line... put your money somewhere else... Cingular will not support it.',Negative
'I\'m using it with an iriver SPINN (with case) and it fits fine.',Positive
'Piece of Junk.',Negative
'The iGo chargers and tips are really great.',Positive
'Not worth it.',Negative
'Cant get the software to work with my computer.',Negative
'Don\'t waste your $$$ on this one.',Negative
'There was so much hype over this phone that I assumed it was the best, my mistake.',Negative
'Obviously they have a terrible customer service, so you get what you pay for.',Negative
'I have bought this Nokia cell phone a few weeks ago and it was a nightmare.',Negative
'I highly recommend this modest priced cellular phone.',Positive
'All three broke within two months of use.',Negative
'It doesn\'t make you look cool.',Negative
'Poor sound quality.',Negative
'good protection and does not make phone too bulky.',Positive
'I have purchased these for both family and friends, and all enjoy their clarity and ease of use',Positive
'I advise EVERYONE DO NOT BE FOOLED!',Negative
'Don\'t make the same mistake that I did and please don\'t buy this phone.',Negative
'However-the riingtones are not the best, and neither are the games.',Negative
'I\'ve owned this phone for 7 months now and can say that it\'s the best mobile phone I\'ve had.',Positive
'The phone gets EXTREMELY HOT!',Negative
'Buy a different phone - but not this.',Negative
'There\'s really nothing bad I can say about this headset.',Negative
'Kind of flops around.',Negative
'Stay Away From the Q!.',Negative
'If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.',Negative
'The cutouts and buttons are placed perfectly.',Positive
'It\'s pretty easy.',Positive
'VERY DISAPPOINTED.',Negative
'Bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked.',Negative
'The real killer is the volume, and of course it breaking.',Negative
'This phone works great.',Positive
'Looks good in the picture, but this case was a huge disappointment!!',Negative
'The Ngage is still lacking in earbuds.',Negative
'This is a VERY average phone with bad battery life that operates on a weak network.',Negative
'This is a great phone!.',Positive
'I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!',Positive
'cool phone.',Positive
'Terrible phone holder.',Negative
'That\'s a huge design flaw (unless I\'m not using it correctly, which I don\'t think is the case).',Negative
'I\'m returning them.',Negative
'Love this headset!',Positive
'Do not make the same mistake as me.',Negative
'This is an excellent tool, especially when paired with your phone\'s auto-answer.',Positive
'Works like a charm.. Works as advertised.',Positive
'My Sanyo has survived dozens of drops on blacktop without ill effect.',Positive
'SWEETEST PHONE!!!',Positive
'Worst ever.',Negative
'This is a great deal.',Positive
'This item is great, installed it, let it charged up overnite and it has been working good every since with no problems',Positive
'Really good product.',Positive
'Good , works fine.',Positive
'I want my money back.',Negative
'Then I had to continue pairing it periodically since it somehow kept dropping.',Negative
'Great phone.',Positive
'I wear glasses and it fits fine with them.',Positive
'I still maintain that monkeys shouldn\'t make headphones, we just obviously don\'t share enough DNA to copy the design over to humans.',Negative
'Clear crisp sound.',Positive
'Not good enough for the price.',Negative
'The construction of the headsets is poor.',Negative
'every thing on phone work perfectly, she like it.',Positive
'I\'ve bought $5 wired headphones that sound better than these.',Negative
'Then a few days later the a puff of smoke came out of the phone while in use.',Negative
'It clicks into place in a way that makes you wonder how long that mechanism would last.',Negative
'very good product, well made.',Positive
'But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.',Positive
'Everything about it is fine and reasonable for the price i.e.',Positive
'Customer service was terrible.',Negative
'great...no problems at all!.',Positive
'After trying many many handsfree gadgets this is the one that finally works well.',Positive
'It\'s very convenient and simple to use - gets job done & makes the car ride so much smoother.',Positive
'The noise shield is incrediable.',Positive
'I\'ll be drivng along, and my headset starts ringing for no reason.',Negative
'Great Hands Free Device.',Positive
'Great sound and service.',Positive
'Uncomfortable In the Ear, Don\'t use with LG VX9900 (EnV).',Negative
'You get what you pay for I guess.',Negative
'Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.',Negative
'Very well made and fits my Surefire GX2 perfectly.',Positive
'I plugged it in only to find out not a darn thing worked.',Negative
'After charging overnight, these batteries work great.',Positive
'I\'m trying to return it for a refund.',Negative
'I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.',Positive
'I highly recommend this device to everyone!',Positive
'Finally, after three or four times the spring of the latch broke and I could not use it any longer on the visor.',Negative
'Too bad you have to pay up to $$$ a month for the service!',Negative
'poor quality and service.',Negative
'All in all, I\'d expected a better consumer experience from Motorola.',Negative
'This particular model would not work with my Motorola Q smartphone.',Negative
'So far it has worked like a charm.',Positive
'Unfortunately it\'s easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.',Negative
'I have read other\'s reviews here but I haven\'t had any problem with it.',Positive
'I had to purchase a different case.',Negative
'The sound is clear and the people I talk to on it are amazed at the quality too.',Positive
'What a waste of time!',Negative
'Very much disappointed with this company.',Negative
'much better than the hard plastic cases.',Positive
'I don\'t like this Nokia either.',Negative
'If you are Razr owner...you must have this!',Positive
'Excellent product, I am very satisfied with the purchase.',Positive
'Save your money.... I\'ve had this item for 11 months now.',Negative
'Not a good bargain.',Negative
'I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.',Negative
'My colleague & I now get great reception.A little expensive, but performance is great.',Positive
'All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.',Negative
'The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.',Positive
'This is hands down the best phone I\'ve ever had.',Positive
'Reversible plug works great.',Positive
'If you plan to use this in a car forget about it.',Negative
'Doesn\'t work at all.. I bougth it for my L7c and its not working.',Negative
'Does not charge the Cingular (ATT) 8525 phone.',Negative
'These headphones were a great find - and I think they are perhaps the best purchase I\'ve made in the last several years - seriously.',Positive
'This item worked great, but it broke after 6 months of use.',Negative
'However, BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.',Negative
'The phone is sturdy and waterproof.',Positive
'Just reading on the specs alone makes you say WOW.',Positive
'Fantastic earphones.',Positive
'The instructions didn\'t explain that a microphone jack could be used.',Negative
'Beautiful styling though.',Positive
'The buttons for on and off are bad.',Negative
'Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.',Positive
'i\'m glad i found this product on amazon it is hard to find, it wasn\'t high priced.',Positive
'It works great with a car charger, especially if you cannot plug in two adapters at the same time.',Positive
'This case seems well made.',Positive
'I\'ve also had problems with the phone reading the memory card in which I always turn it on and then off again.',Negative
'It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.',Positive
'I love being able to use one headset for both by land-line and cell.',Positive
'I have used several phone in two years, but this one is the best.',Positive
'the phone was unusable and was not new.',Negative
'And I just love the colors!',Positive
'And the sound quality is great.',Positive
'Please dont waste your money.',Negative
'I really recommend this faceplates since it looks very nice, elegant and cool.',Positive
'Easy to pair with my Samsung Cell.',Positive
'The design might be ergonomic in theory but I could not stand having these in my ear.',Negative
'I love the camera, it\'s really pretty good quality.',Positive
'Plantronics Bluetooth Excelent Buy.',Positive
'I didn\'t want the clip going over the top of my ear, causing discomfort.',Negative
'This is a simple little phone to use, but the breakage is unacceptible.',Negative
'Made very sturdy.',Positive
'Chinese Forgeries Abound!.',Negative
'I am more than happy with this product.',Positive
'The battery is unreliable as well as the service use antena.',Negative
'My phone doesn\'t slide around my car now and the grip prevents my phone from slipping out of my hand.',Positive
'I have tried these cables with my computer and my iPod and it works just fine.',Positive
'All in all, I\'m quite satisfied with this purchase.',Positive
'I have had this phone for over a year now, and I will tell you, its not that great.',Negative
'Couldn\'t figure it out',Negative
'Improper description.... I had to return it.',Negative
'I bought this battery with a coupon from Amazon and I\'m very happy with my purchase.',Positive
'Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!',Positive
'It dit not work most of the time with my Nokia 5320.',Negative
'It seems completely secure, both holding on to my belt, and keeping the iPhone inside.',Positive
'Worth every penny.',Positive
'You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.',Negative
'I gave it 5 stars because of the sound quality.',Positive
'I would highly recommend this.',Positive
'Saggy, floppy piece of junk.',Negative
'Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.',Negative
'I wish I could return the unit and get back my money.',Negative
'I am very happy',Positive
'I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.',Negative
'Mobile Phone Tools are a must have.',Positive
'I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.',Positive
'Would not reccommend.',Negative
'Bad Reception.',Negative
'Its not user friendly.',Negative
'The only thing that disappoint me is the infra red port (irda).',Negative
'stay away from this store, be careful.',Negative
'It doesn\'t work in Europe or Asia.',Negative
'poor voice clarity.',Negative
'Great for the jawbone.',Positive
'As I said above....PRETTY USELESS!',Negative
'Don\'t make the same mistake I did.',Negative
'dont buy it.',Negative
'So just beware.',Negative
'sucked, most of the stuff does not work with my phone.',Negative
'I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.',Positive
'The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.',Negative
'I ended up sliding it on the edge of my pants or back pockets instead.',Positive
'Does everything it should and more.',Positive
'What a piece of junk.. I lose more calls on this phone.',Negative
'very disappointed.',Negative
'The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.',Negative
'Who in their right mind is gonna buy this battery?.',Negative
'Excellent bluetooth headset.',Positive
'I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.',Negative
'This pair of headphones is the worst that I have ever had sound-wise.',Negative
'I am going to have to be the first to negatively review this product.',Negative
'in addition it feels &amp; looks as if the phone is all lightweight cheap plastic.',Negative
'Better Than New.',Positive
'The headsets are easy to use and everyone loves them.',Positive
'Great choice!',Positive
'How can that be?The audio quality is poor.',Negative
'Soyo technology sucks.',Negative
'The seller is very understanding and patient, I would definitely buy from them again.',Positive
'Bought mainly for the charger, which broke soon after purchasing.',Negative
'Good product - incredible value.',Positive
'Nice solid keyboard.',Positive
'What a big waste of time.',Negative
'Perhaps my phone is defective, but people cannot hear me when I use this.',Negative
'The ear buds only play music in one ear.',Negative
'Sounds good reasonably priced and effective, Its that simple !',Positive
'I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).',Negative
'I would recommend it.',Positive
'I\'m a bit disappointed.',Negative
'All the other cases I\'ve tried normally fall apart after a few months but this one seems to be in for the long haul.',Positive
'It is well made, easy to access the phone and has a handy, detachable belt clip.',Positive
'My headset works just peachy-keen.',Positive
'I also didn\'t like the "on" button, it felt like it would crack with use.',Negative
'This is a great little item.',Positive
'It is light, easy to use, and has very clear reception and transmission.',Positive
'The phone takes FOREVER to charge like 2 to 5 hours literally.',Negative
'I recommend iGo to anyone with different brand cell phones/mp3 players in the family.',Positive
'WARNING - DO NOT BUY!!.',Negative
'Case was more or less an extra that I originally put on but later discarded because it scratched my ear.',Negative
'Not nearly as good looking as the AMAZON picture makes it look.',Negative
'I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.',Negative
'The tracfonewebsite is user friendly and makes it easy toactivate, etc.',Positive
'2 thumbs up to this seller',Positive
'Battery lasts only a few hours.',Negative
'I give Wirefly 1 star.I will contact Cingular/AT&T; and inform them of this practice.',Negative
'however, my girl was complain that some time the phone doesn\'t wake up like normal phone does.',Negative
'The internet access was fine, it the rare instance that it worked.',Negative
'This company charge me a restocking fee and still not given me my refund back.',Negative
'The reception through this headset is excellent.',Positive
'I was very impressed with the price of the cases.',Positive
'For the price this was a great deal.',Positive
'Doesn\'t hold charge.',Negative
'Really pleased with this product so far.',Positive
'Having trouble with volume.',Negative
'First off the reception sucks, I have never had more than 2 bars, ever.',Negative
'I received my headset in good time and was happy with it.',Positive
'Appears to actually outperform the original battery from China that came with my V325i.',Positive
'The microphone also works well, but (according to people I have called) it applifies everything.',Positive
'Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc).',Negative
'Att is not clear, sound is very distorted and you have to yell when you talk.',Negative
'useless phone, simply deaf.',Negative
'Authentic leather with nice shine and comfort .I recommend you this case !!',Positive
'Nice headphones for the price and they work great!',Positive
'Very pleased with this headset.',Positive
'Its a total package.',Positive
'Does not fit.',Negative
'It is so small and you don\'t even realize that it is there after a while of getting used to it.',Positive
'I have only had it for a few weeks, but so far, so good.',Positive
'It\'s A PIECE OF CRAP!',Negative
'Works great.',Positive
'It\'s fits like a glove and is strong, secure, and durable.',Positive
'Great software for Motorolas.',Positive
'Cumbersome design.',Negative
'It\'s uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).',Negative
'I usually don\'t like headbands but this one is very lightweight & doesn\'t mess up my hair.',Positive
'Horrible phone.',Negative
'The bottowm line...another worthless, cheap gimmick from Sprint.',Negative
'It\'s not what it says it is.',Negative
'Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack.',Negative
'Don\'t buy this product.',Negative
'Can\'t upload ringtones from a third party.',Negative
'Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended',Positive
'Setup went very smoothly.',Positive
'Very satisifed with that.',Positive
'It\'s very attractive and appears to be of good quality.',Positive
'Bad Choice.',Negative
'AFter the first charge kept going dead after 12 minutes.',Negative
'IT\'S REALLY EASY.',Positive
'This little device has transformed my organizational capability and made my life a whole lot easier.',Positive
'Great charger.',Positive
':-)Oh, the charger seems to work fine.',Positive
'i got this phone around the end of may and i\'m completely unhappy with it.',Negative
'This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.',Positive
'But it does get better reception and clarity than any phone I\'ve had before.',Positive
'Does Not Work.',Negative
'Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.',Negative
'I tried talking real loud but shouting on the telephone gets old and I was still told it wasn\'t great.',Negative
'Works good.',Positive
'Great case and price!',Positive
'Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.',Negative
'This is by far the worst purchase I\'ve made on Amazon.',Negative
'It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.',Positive
'VERY cheap plastic, creaks like an old wooden floor.',Negative
'Protects the phone on all sides.',Positive
'If you don\'t find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.',Negative
'Linked to my phone without effort.',Positive
'Clear Skype Calls, Long Battery Life, Long Range.',Positive
'I was looking for this headset for a long time and now that I\'ve got it I couldn\'t be happier.',Positive
'don\'t waste your money and time.',Negative
'They work about 2 weeks then break.',Negative
'Echo Problem....Very unsatisfactory',Negative
'Excellent product for the price.',Positive
'This is a great product..... sure beats using your fingers!.',Positive
'This is a beautiful phone.',Positive
'I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.',Positive
'The plug did not work very well.',Negative
'Works as described.',Positive
'The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.',Positive
'DO NOT BUY DO NOT BUYIT SUCKS',Negative
'Just really good.. So far, probably the best BT headset I have ever had.',Positive
'Very good stuff for the price.',Positive
'Otherwise, easy to install and use, clear sound.',Positive
'Could not get strong enough signal.',Negative
'I went on Motorola\'s website and followed all directions, but could not get it to pair again.',Negative
'It looses connection to the phone even when it is within a couple feet between the two.',Negative
'This is essentially a communications tool that does not communicate.',Negative
'Iam very pleased with my purchase.',Positive
'This phone is pretty sturdy and I\'ve never had any large problems with it.',Positive
'DO NOT PURCHASE THIS PHONE.',Negative
'Disappointment.. I hate anything that goes in my ear.',Negative
'very clear, quality sound and you don\'t have to mess with the sound on your iPod since you have the sound buttons on the headset.',Positive
'I\'m really disappointed all I have now is a charger that doesn\'t work.',Negative
'I Was Hoping for More.',Negative
'Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.',Negative
'The price was very good and with the free shipping and all it was a good purchase.',Positive
'Comfort for our whole family.',Positive
'My sister has one also and she loves it.',Positive
'It always cuts out and makes a beep beep beep sound then says signal failed.',Negative
'The range is very decent, I\'ve been able to roam around my house with the phone in the living room with no reception/sound quality issues.',Positive
'the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.',Negative
'I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.',Negative
'When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides.',Negative
'Much less than the jawbone I was going to replace it with.',Positive
'This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it',Negative
'It is easy to turn on and off when you are in the car and the volume controls are quite accessable.',Positive
'For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.',Negative
'I\'m happy about this purchase- good quality and low price.',Positive
'I didn\'t think that the instructions provided were helpful to me.',Negative
'Its reception is very very poor.',Negative
'Has been working great.',Positive
'It was horrible!.',Negative
'you could only take 2 videos at a time and the quality was very poor.',Negative
'Terrible product, and waste of money!',Negative
'I have had problems wit hit dropping signal and more.',Negative
'No buyers remorse on this one!.',Negative
'But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.',Positive
'worthless product.',Negative
'Product is exactly as described.',Positive
'It looks very nice.',Positive
'The worst piece of crap ever along with the Verizon customer service.',Negative
'Awkward to use and unreliable.',Negative
'Warning - Stay away.',Negative
'The Jabra EarGels fit my ears very well.',Positive
'Razr Battery - Good buy.',Positive
'The battery is completely useless to me.',Negative
'EXCELLENT SERVICE!!!!!!!!.',Positive
'It\'s been my choice headset for years.Great sound; good volume; good noise cancellation.',Positive
'I bought it for my mother and she had a problem with the battery.',Negative
'Very easy to use.',Positive
'Plan on ordering from them again and again.',Positive
'Good Quality.',Positive
'Restored my phone to like new performance.',Positive
'I love this phone , It is very handy and has a lot of features .',Positive
'you can even take self portraits with the outside (exterior) display, very cool.',Positive
'The nano stated it.My son was dissapointed.',Negative
'The item received was Counterfeit.',Negative
'I might have gotten a defect, but I would not risk buying it again because of the built quality alone.',Negative
'This results in the phone being either stuck at max volume or mute.',Negative
'Any ring tone..Overall good phone to buy..',Positive
'It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.',Positive
'The case is a flimsy piece of plastic and has no front or side protection whatsoever.',Negative
'Display is excellent and camera is as good as any from that year.',Positive
'No ear loop needed, it\'s tiny and the sound is great.',Positive
'He was very impressed when going from the original battery to the extended battery.',Positive
'I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.',Negative
'Don\'t bother - go to the store.',Negative
'You have to hold the phone at a particular angle for the other party to hear you clearly.',Negative
'Worked perfectly!',Positive
'Magical Help.',Positive
'Its the best headset I have used.',Positive
'I have had mine for about a year and this Christmas I bought some for the rest of the family.',Positive
'It defeats the purpose of a bluetooth headset.',Negative
'Good value, works fine - power via USB, car, or wall outlet.',Positive
disappointing.,Negative
'The battery life is highly unacceptable.',Negative
'Defective crap.',Negative
'I\'ve only had my bluetooth for a few weeks, but I really like it.',Positive
'Jawbone Era is awesome too!',Positive
'It would take too long to describe how bad my customer service experience has been with Amazon.',Negative
'The phone loads super!',Positive
'Very good phone.',Positive
'You won\'t regret it!',Positive
'Voice recognition is tremendous!',Positive
'I can barely ever hear on it and am constantly saying "what?"',Negative
Excellent!.,Positive
'Their network coverage in Los Angeles is horrible.',Negative
'Earbud piece breaks easily.',Negative
'Terrible.. My car will not accept this cassette.',Negative
'Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.',Positive
'The battery runs down quickly.',Negative
'Waste of 13 bucks.',Negative
'None of the three sizes they sent with the headset would stay in my ears.',Negative
'Someone shouldve invented this sooner.',Positive
'Unfortunately it did not work.',Negative
'It is very comfortable to wear as well, which is probably the most important aspect about using a case.',Positive
'I am not impressed with this and i would not recommend this item to anyone.',Negative
'Krussel Always good.',Positive
'Not impressed.',Negative
