@RELATION Yelp

@ATTRIBUTE sentence STRING 
@ATTRIBUTE classAttribute {Positive,Negative}

@DATA
'Everyone is treated equally special.',Positive
'seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.',Negative
'Best breakfast buffet!!!',Positive
'The service was terrible though.',Negative
'Never had anything to complain about here.',Positive
'We\'d definitely go back here again.',Positive
'I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.',Positive
'The best place to go for a tasty bowl of Pho!',Positive
'Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.',Positive
'The food was very good.',Positive
'I would definitely recommend the wings as well as the pizza.',Positive
'I gave it 5 stars then, and I\'m giving it 5 stars now.',Positive
'I checked out this place a couple years ago and was not impressed.',Negative
'Come hungry, leave happy and stuffed!',Positive
'The block was amazing.',Positive
'We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.',Positive
'The owners are super friendly and the staff is courteous.',Positive
'I\'ve never been treated so bad.',Negative
'We were promptly greeted and seated.',Positive
'I won\'t be back.',Negative
'I would recommend saving room for this!',Positive
'This was like the final blow!',Negative
'not even a "hello, we will be right with you."',Negative
'Love the margaritas, too!',Positive
'They have a plethora of salads and sandwiches, and everything I\'ve tried gets my seal of approval.',Positive
'I\'ve lived here since 1979 and this was the first (and last) time I\'ve stepped foot into this place.',Negative
'If the food isn\'t bad enough for you, then enjoy dealing with the world\'s worst/annoying drunk people.',Negative
'My wife had the Lobster Bisque soup which was lukewarm.',Negative
'dont go here.',Negative
'The service here leaves a lot to be desired.',Negative
'Great Subway, in fact it\'s so good when you come here every other Subway will not meet your expectations.',Positive
'Unfortunately, it only set us up for disapppointment with our entrees.',Negative
'They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.',Positive
'It\'ll be a regular stop on my trips to Phoenix!',Positive
'Gave up trying to eat any of the crust (teeth still sore).',Negative
'Their rotating beers on tap is also a highlight of this place.',Positive
'We waited an hour for what was a breakfast I could have done 100 times better at home.',Negative
'like the other reviewer said "you couldn\'t pay me to eat at this place again."',Negative
'the staff is friendly and the joint is always clean.',Positive
'Disappointing experience.',Negative
'WAAAAAAyyyyyyyyyy over rated is all I am saying.',Negative
'The only thing I wasn\'t too crazy about was their guacamole as I don\'t like it puréed.',Negative
'The menu is always changing, food quality is going down & service is extremely slow.',Negative
'It\'s too bad the food is so damn generic.',Negative
'This isn\'t a small family restaurant, this is a fine dining establishment.',Positive
'Coming here is like experiencing an underwhelming relationship where both parties can\'t wait for the other person to ask to break up.',Negative
'I just wanted to leave.',Negative
'Bland and flavorless is a good way of describing the barely tepid meat.',Negative
'I kept looking at the time and it had soon become 35 minutes, yet still no food.',Negative
'the presentation of the food was awful.',Negative
'We\'ve have gotten a much better service from the pizza place next door than the services we received from this restaurant.',Negative
'Worst service to boot, but that is the least of their worries.',Negative
'If you\'re not familiar, check it out.',Positive
'The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!',Positive
'I had the opportunity today to sample your amazing pizzas!',Positive
'Def coming back to bowl next time',Positive
'I got to enjoy the seafood salad, with a fabulous vinegrette.',Positive
'I love the fact that everything on their menu is worth it.',Positive
'It was awesome.',Positive
'Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.',Negative
'An absolute must visit!',Positive
'The descriptions said "yum yum sauce" and another said "eel sauce", yet another said "spicy mayo"...well NONE of the rolls had sauces on them.',Negative
'Overall, I was very disappointed with the quality of food at Bouchon.',Negative
'As always the evening was wonderful and the food delicious!',Positive
'The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.',Negative
'The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.',Positive
'Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.',Negative
'Our server was very nice and attentive as were the other serving staff.',Positive
'We literally sat there for 20 minutes with no one asking to take our order.',Negative
'The service was a bit lacking.',Negative
'They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.',Positive
'5 stars for the brick oven bread app!',Positive
'this place is good.',Positive
'Food was so gooodd.',Positive
'You can\'t beat that.',Positive
'I\'d love to go back.',Positive
'The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.',Negative
'Loved it...friendly servers, great food, wonderful and imaginative menu.',Positive
'Omelets are to die for!',Positive
'The restaurant is very clean and has a family restaurant feel to it.',Positive
'Join the club and get awesome offers via email.',Positive
'I\'m probably one of the few people to ever go to Ians and not like it.',Negative
'Sooooo good!!',Positive
'It\'s NOT hard to make a decent hamburger.',Negative
'Main thing I didn\'t enjoy is that the crowd is of older crowd, around mid 30s and up.',Negative
'Owner\'s are really great people.!',Positive
'I started this review with two stars, but I\'m editing it to give it only one.',Negative
'They have horrible attitudes towards customers, and talk down to each one when customers don\'t enjoy their food.',Negative
'When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.',Positive
'Generous portions and great taste.',Positive
'The pizza tasted old, super chewy in not a good way.',Negative
'Not a weekly haunt, but definitely a place to come back to every once in a while.',Positive
'The one down note is the ventilation could use some upgrading.',Negative
'Stopped by this place while in Madison for the Ironman, very friendly, kind staff.',Positive
'Con: spotty service.',Negative
'If it were possible to give them zero stars, they\'d have it.',Negative
'There is not a deal good enough that would drag me into that establishment again.',Negative
'I was shocked because no signs indicate cash only.',Negative
'Strike 2, who wants to be rushed.',Negative
'Hopefully this bodes for them going out of business and someone who can cook can come in.',Negative
'This is an Outstanding little restaurant with some of the Best Food I have ever tasted.',Positive
'No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.',Negative
'Went for lunch - service was slow.',Negative
'After I pulled up my car I waited for another 15 minutes before being acknowledged.',Negative
'Each day of the week they have a different deal and it\'s all so delicious!',Positive
'Cute, quaint, simple, honest.',Positive
'Service was good and the company was better!',Positive
'Great food for the price, which is very high quality and house made.',Positive
'The food, amazing.',Positive
'The price is reasonable and the service is great.',Positive
'The seasonal fruit was fresh white peach puree.',Positive
'We watched our waiter pay a lot more attention to other tables and ignore us.',Negative
'The classic Maine Lobster Roll was fantastic.',Positive
'The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.',Positive
'Will be back again!',Positive
'It was absolutely amazing.',Positive
'Best of luck to the rude and non-customer service focused new management.',Negative
'My first visit to Hiro was a delight!',Positive
'-Drinks took close to 30 minutes to come out at one point.',Negative
'Pretty good beer selection too.',Positive
'In fact I\'m going to round up to 4 stars, just because she was so awesome.',Positive
'It is worth the drive.',Positive
'This place has a lot of promise but fails to deliver.',Negative
'I give it 2 thumbs down',Negative
'What a mistake.',Negative
'All in all, I can assure you I\'ll be back.',Positive
'If you want a sandwich just go to any Firehouse!!!!!',Positive
'Would not go back.',Negative
'Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.',Positive
'Fantastic service here.',Positive
'I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.',Positive
'All the bread is made in-house!',Positive
'Try them in the airport to experience some tasty food and speedy, friendly service.',Positive
'Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.',Positive
'We\'ve tried to like this place but after 10+ times I think we\'re done with them.',Negative
'Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!',Positive
'I\'ve had better, not only from dedicated boba tea spots, but even from Jenni Pho.',Negative
'Mediocre food.',Negative
'Give it a try, you will be happy you did.',Positive
'He deserves 5 stars.',Positive
'Seriously flavorful delights, folks.',Positive
'The whole experience was underwhelming, and I think we\'ll just go to Ninja Sushi next time.',Negative
'We won\'t be going back anytime soon!',Negative
'I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.',Negative
'First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!',Negative
'My brother in law who works at the mall ate here same day, and guess what he was sick all night too.',Negative
'They were excellent.',Positive
'This wonderful experience made this place a must-stop whenever we are in town again.',Positive
'If you stay in Vegas you must get breakfast here at least once.',Positive
'What happened next was pretty....off putting.',Negative
'I hate those things as much as cheap quality black olives.',Negative
'No complaints!',Positive
'We could not believe how dirty the oysters were!',Negative
'Everything was gross.',Negative
'This is my new fav Vegas buffet spot.',Positive
'The inside is really quite nice and very clean.',Positive
'The service was not up to par, either.',Negative
'If you are reading this please don\'t go there.',Negative
'The kids play area is NASTY!',Negative
'A greasy, unhealthy meal.',Negative
'For about 10 minutes, we we\'re waiting for her salad when we realized that it wasn\'t coming any time soon.',Negative
'The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he\'s ever eaten.',Positive
'The food wasn\'t good.',Negative
'On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.',Negative
'I never come again.',Negative
'Worst martini ever!',Negative
'Very friendly staff.',Positive
'For sushi on the Strip, this is the place to go.',Positive
'We got the food and apparently they have never heard of salt and the batter on the fish was chewy.',Negative
'Tasted like dirt.',Negative
'The steak and the shrimp are in my opinion the best entrees at GC.',Positive
'I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.',Negative
'The burger is good beef, cooked just right.',Positive
'This place is a jewel in Las Vegas, and exactly what I\'ve been hoping to find in nearly ten years living here.',Positive
'The nachos are a MUST HAVE!',Positive
'Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!',Positive
'Sauce was tasteless.',Negative
'No one at the table thought the food was above average or worth the wait that we had for it.',Negative
'The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits.',Negative
'And it was way to expensive.',Negative
'Probably never coming back, and wouldn\'t recommend it.',Negative
'I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.',Negative
'TOTAL WASTE OF TIME.',Negative
'This is an unbelievable BARGAIN!',Positive
'I dressed up to be treated so rudely!',Negative
'OMG I felt like I had never eaten Thai food until this dish.',Positive
'They have a really nice atmosphere.',Positive
'I go to far too many places and I\'ve never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.',Negative
'Do yourself a favor and stay away from this dish.',Negative
'Food was delicious!',Positive
'I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area (;',Positive
'It lacked flavor, seemed undercooked, and dry.',Negative
'I went to Bachi Burger on a friend\'s recommendation and was not disappointed.',Positive
'This is a disgrace.',Negative
'Oh this is such a thing of beauty, this restaurant.',Positive
'The chips that came out were dripping with grease, and mostly not edible.',Negative
'Service stinks here!',Negative
'Will never, ever go back.',Negative
'This place is great!!!!!!!!!!!!!!',Positive
'The food is about on par with Denny\'s, which is to say, not good at all.',Negative
'Waited and waited and waited.',Negative
'I could care less... The interior is just beautiful.',Positive
'And the beans and rice were mediocre at best.',Negative
'We\'ll never go again.',Negative
DELICIOUS!!,Positive
'Great pork sandwich.',Positive
'I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.',Negative
'The cashier was friendly and even brought the food out to me.',Positive
'The atmosphere is modern and hip, while maintaining a touch of coziness.',Positive
'It also took her forever to bring us the check when we asked for it.',Negative
'The food is very good for your typical bar food.',Positive
'The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.',Positive
'The poor batter to meat ratio made the chicken tenders very unsatisfying.',Negative
'We walked away stuffed and happy about our first Vegas buffet experience.',Positive
'Last night was my second time dining here and I was so happy I decided to go back!',Positive
'And then tragedy struck.',Negative
'Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.',Negative
'It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.',Negative
'Waiter was a jerk.',Negative
'Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.',Negative
'Highly recommended.',Positive
'Everyone is very attentive, providing excellent customer service.',Positive
'We loved the biscuits!!!',Positive
'Things that went wrong: - They burned the saganaki.',Negative
'The Burrittos Blah!',Negative
'Not to mention the combination of pears, almonds and bacon is a big winner!',Positive
'Food quality has been horrible.',Negative
'The patio seating was very comfortable.',Positive
'Service is perfect and the family atmosphere is nice to see.',Positive
'Service is quick and even "to go" orders are just like we like it!',Positive
'For that price I can think of a few place I would have much rather gone.',Negative
'Talk about great customer service of course we will be back.',Positive
'I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.',Positive
'Same evening, him and I are both drastically sick.',Negative
'Crostini that came with the salad was stale.',Negative
'I recently tried Caballero\'s and I have been back every week since!',Positive
'(It wasn\'t busy either) Also, the building was FREEZING cold.',Negative
'Bacon is hella salty.',Positive
'It\'s worth driving up from Tucson!',Positive
'I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn\'t use my common sense.',Negative
'It was not good.',Negative
'Wow... Loved this place.',Positive
'Prices are very reasonable, flavors are spot on, the sauce is home made, and the slaw is not drenched in mayo.',Positive
'My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.',Positive
'The feel of the dining room was more college cooking course than high class dining and the service was slow at best.',Negative
'The food was outstanding and the prices were very reasonable.',Positive
'To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.',Negative
'I\'m so happy to be here!!!"',Positive
'The Jamaican mojitos are delicious.',Positive
'Go To Place for Gyros.',Positive
'Just as good as when I had it more than a year ago!',Positive
'Very bad Experience!',Negative
'After 20 minutes wait, I got a table.',Negative
'The building itself seems pretty neat; the bathroom is pretty trippy, but I wouldn\'t eat here again.',Negative
'Food was below average.',Negative
'When my order arrived, one of the gyros was missing.',Negative
'I really enjoyed Crema Café before they expanded; I even told friends they had the BEST breakfast.',Positive
'Eclectic selection.',Positive
'Service is friendly and inviting.',Positive
'Nice blanket of moz over top but i feel like this was done to cover up the subpar food.',Positive
'The plantains were the worst I\'ve ever tasted.',Negative
'Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.',Positive
'The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.',Negative
'The Han Nan Chicken was also very tasty.',Positive
'The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.',Negative
'I had heard good things about this place, but it exceeding every hope I could have dreamed of.',Positive
'The decor is nice, and the piano music soundtrack is pleasant.',Positive
'We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.',Positive
'My friend loved the salmon tartar.',Positive
'If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.',Negative
'Very good, though!',Positive
'Also there are combos like a burger, fries, and beer for 23 which is a decent deal.',Positive
'One of the few places in Phoenix that I would definately go back to again .',Positive
'Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.',Negative
'I\'m not eating here!',Negative
'Good food , good service .',Positive
'Tried to go here for lunch and it was a madhouse.',Negative
'The service was poor and thats being nice.',Negative
'By this time our side of the restaurant was almost empty so there was no excuse.',Negative
'Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !',Positive
'He also came back to check on us regularly, excellent service.',Positive
'I as well would\'ve given godfathers zero stars if possible.',Negative
'There is nothing privileged about working/eating there.',Negative
'It\'s close to my house, it\'s low-key, non-fancy, affordable prices, good food.',Positive
'At least 40min passed in between us ordering and the food arriving, and it wasn\'t that busy.',Negative
'Nice, spicy and tender.',Positive
'At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.',Positive
'The shrimp tender and moist.',Positive
'Spend your money and time some place else.',Negative
'As for the service, I thought it was good.',Positive
'Your servers suck, wait, correction, our server Heimer sucked.',Negative
'The ambience is wonderful and there is music playing.',Positive
'By far the BEST cheesecurds we have ever had!',Positive
'I don\'t know what kind it is but they have the best iced tea.',Positive
'Anyway, I do not think i will go back there.',Negative
'The meat was pretty dry, I had the sliced brisket and pulled pork.',Negative
'My ribeye steak was cooked perfectly and had great mesquite flavor.',Positive
'I consider this theft.',Negative
'First time going but I think I will quickly become a regular.',Positive
'This place is not worth your time, let alone Vegas.',Negative
'I was VERY disappointed!!',Negative
'The cow tongue and cheek tacos are amazing.',Positive
'Service is also cute.',Positive
'Now the burgers aren\'t as good, the pizza which used to be amazing is doughy and flavorless.',Negative
'The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!',Positive
'In an interesting part of town, this place is amazing.',Positive
'There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.',Negative
'Please stay away from the shrimp stir fried noodles.',Negative
'When I\'m on this side of town, this will definitely be a spot I\'ll hit up again!',Positive
'The servers are not pleasant to deal with and they don\'t always honor Pizza Hut coupons.',Negative
'Sadly, Gordon Ramsey\'s Steak is a place we shall sharply avoid during our next trip to Vegas.',Negative
'This was my first crawfish experience, and it was delicious!',Positive
'There was hardly any meat.',Negative
'Their monster chicken fried steak and eggs is my all time favorite.',Positive
'this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.',Positive
'There is nothing authentic about this place.',Negative
'The worst was the salmon sashimi.',Negative
'This is some seriously good pizza and I\'m an expert/connisseur on the topic.',Positive
'2 Thumbs Up!!',Positive
'If you haven\'t gone here GO NOW!',Positive
'this is the worst sushi i have ever eat besides Costco\'s.',Negative
'Maybe it\'s just their Vegetarian fare, but I\'ve been twice and I thought it was average at best.',Negative
'All in all, Ha Long Bay was a bit of a flop.',Negative
'A couple of months later, I returned and had an amazing meal.',Positive
'I don\'t have to be an accountant to know I\'m getting screwed!',Negative
'The vegetables are so fresh and the sauce feels like authentic Thai.',Positive
'The shower area is outside so you can only rinse, not take a full shower, unless you don\'t mind being nude for everyone to see!',Negative
'Seriously killer hot chai latte.',Positive
'Awesome service and food.',Positive
'Despite how hard I rate businesses, its actually rare for me to give a 1 star.',Negative
'We won\'t be going back.',Negative
'Their menu is diverse, and reasonably priced.',Positive
'I like Steiners because it\'s dark and it feels like a bar.',Positive
'(The bathroom is just next door and very nice.)',Positive
'Those burgers were amazing.',Positive
'This greedy corporation will NEVER see another dime from me!',Negative
'The sweet potato fries were very good and seasoned well.',Positive
'My fella got the huevos rancheros and they didn\'t look too appealing.',Negative
'Favorite place in town for shawarrrrrrma!!!!!!',Positive
'The fries were great too.',Positive
'This is a good joint.',Positive
'Thus far, have only visited twice and the food was absolutely delicious each time.',Positive
'Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.',Positive
'Poor service, the waiter made me feel like I was stupid every time he came to the table.',Negative
'I would not recommend this place.',Negative
'Total brunch fail.',Negative
'We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.',Negative
'Great place to relax and have an awesome burger and beer.',Positive
'Overpriced for what you are getting.',Negative
'Always a pleasure dealing with him.',Positive
'All of the tapas dishes were delicious!',Positive
'Anyway, this FS restaurant has a wonderful breakfast/lunch.',Positive
'The servers went back and forth several times, not even so much as an "Are you being helped?"',Negative
'The goat taco didn\'t skimp on the meat and wow what FLAVOR!',Positive
'This place is hands-down one of the best places to eat in the Phoenix metro area.',Positive
'I will not be eating there again.',Negative
'The flair bartenders are absolutely amazing!',Positive
'Waited 2 hours & never got either of our pizzas as many other around us who came in later did!',Negative
'The bartender was also nice.',Positive
'The sangria was about half of a glass wine full and was $12, ridiculous.',Negative
'i felt insulted and disrespected, how could you talk and judge another human being like that?',Negative
'very slow at seating even with reservation.',Negative
'We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).',Negative
'The Buffet at Bellagio was far from what I anticipated.',Negative
'The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.',Negative
'The Veggitarian platter is out of this world!',Positive
'Both great!',Positive
'As a sushi lover avoid this place by all means.',Negative
'Server did a great job handling our large rowdy table.',Positive
'After waiting an hour and being seated, I was not in the greatest of moods.',Negative
